"","label","X","SA.axis_rank","GAM.age.Fvalue","GAM.age.pvalue","GAM.age.AdjRsq","Anova.age.pvalue","age.onsetchange","age.peakchange","maxage.BNC.increase","age.maturation","significant","Anova.age.pvalue.fdr","significant.fdr"
"1","Networks_LH_VisCent_ExStr_1",1,21,3.14945201327322,0.0435623912172022,0.00684882954319732,0.0428756156989737,5.66666666666667,6.15661641239531,21.9166665666667,21.9166665666667,TRUE,0.0564152838144391,0
"2","Networks_LH_VisCent_ExStr_2",2,28,1.48190480716422,0.228008116532776,-0.00152204332866523,0.22720449518986,NA,NA,NA,NA,FALSE,0.272101191844144,0
"3","Networks_LH_VisCent_Striate_1",3,2,13.191809069489,2.45142138984651e-06,-0.0377225980527005,1.86582159289905e-06,5.66666666666667,6.36076213978225,NA,17.9154103098828,TRUE,6.66364854606804e-06,1
"4","Networks_LH_VisCent_ExStr_3",4,27,8.68657870763226,0.000190263379994145,0.0236913742277948,0.000168836678851586,5.66666666666667,6.15661641239531,15.7922947450586,15.7922947450586,TRUE,0.000388130296210543,1
"5","Networks_LH_VisCent_ExStr_4",5,57,7.63678358089962,0.000529151817654287,0.0207405512792859,0.00048237748771408,5.66666666666667,6.23827470335009,16.2822444907873,16.2822444907873,TRUE,0.000994592758173361,1
"6","Networks_LH_VisCent_ExStr_5",6,36,17.5291250631108,3.93231516493188e-08,0.0501837635538305,2.43892088404448e-08,11.0561138696818,21.4675459664154,21.9166665666667,21.9166665666667,TRUE,1.29444518164666e-07,1
"7","Networks_LH_VisPeri_ExStrInf_1",7,39,7.93059778140087,0.000397286526434829,-0.0213852338186747,0.000359571403575276,5.66666666666667,6.07495812144054,21.9166665666667,21.9166665666667,TRUE,0.000773271835645755,1
"8","Networks_LH_VisPeri_ExStrInf_2",8,9,6.43339278330505,0.00171636514714318,0.0169898505348746,0.00160698940817183,5.66666666666667,21.7125208392798,21.9166665666667,21.9166665666667,TRUE,0.00297590631142931,1
"9","Networks_LH_VisPeri_ExStrInf_3",9,32,6.65193891359025,0.0013856644760996,-0.0174928314564158,0.00129151553921271,5.66666666666667,6.03412897596315,NA,15.7106364541039,TRUE,0.00248368372925521,1
"10","Networks_LH_VisPeri_StriCal_1",10,8,5.3519867323549,0.00496018586490692,-0.0137785419062917,0.0047387270587196,5.66666666666667,6.1974455578727,NA,15.2206867083752,TRUE,0.00770524724995057,1
"11","Networks_LH_VisPeri_ExStrSup_1",11,15,7.51059403868198,0.000598517329897167,0.0202107036635535,0.000547255900962408,5.66666666666667,21.5900334028476,21.9166665666667,21.9166665666667,TRUE,0.00109451180192482,1
"12","Networks_LH_VisPeri_ExStrSup_2",12,10,6.83249963014196,0.00116120993635926,0.0182419169319595,0.00107815974594377,13.4242043073702,21.4675459664154,21.9166665666667,21.9166665666667,TRUE,0.0021140387175368,1
"13","Networks_LH_SomMotA_1",13,58,4.60854658639221,0.0103101505269631,0.0112686176052218,0.00996629293225635,13.9141540530988,21.4267168209381,21.9166665666667,21.9166665666667,TRUE,0.0149869066650471,1
"14","Networks_LH_SomMotA_2",14,35,18.0191554876302,2.47383757791347e-08,0.0519996397213283,1.4941018488705e-08,13.3425460164154,21.5492042573702,21.9166665666667,21.9166665666667,TRUE,8.53772485068857e-08,1
"15","Networks_LH_SomMotA_3",15,6,26.8066845607797,6.82507416361944e-12,0.0762567630615606,2.28036736536772e-12,10.7294807058627,21.5083751118928,21.9166665666667,21.9166665666667,TRUE,3.9244646516535e-11,1
"16","Networks_LH_SomMotA_4",16,13,39.9241704078743,4.90008003826738e-17,0.111326124993299,4.58303419155693e-18,9.0146565958124,21.4675459664154,21.9166665666667,21.9166665666667,TRUE,3.05535612770462e-16,1
"17","Networks_LH_SomMotA_5",17,20,29.8640298077714,4.14488310347891e-13,0.0845545235886165,1.07205396423235e-13,8.27973197721944,21.3042293845059,21.9166665666667,21.9166665666667,TRUE,2.68013491058087e-12,1
"18","Networks_LH_SomMotA_6",18,40,19.4354364307749,6.50620895707097e-09,0.0552630460336087,3.62490980338076e-09,11.9543550701843,21.7125208392798,21.9166665666667,21.9166665666667,TRUE,2.78839215644674e-08,1
"19","Networks_LH_SomMotA_7",19,16,23.7735961394793,1.12722842460765e-10,0.0674009852486827,4.73432842015733e-11,13.0975711435511,21.5900334028476,21.9166665666667,21.9166665666667,TRUE,5.34240279410472e-10,1
"20","Networks_LH_SomMotA_8",20,7,24.0198999166634,8.96807444017452e-11,0.067799905728355,3.70075223695393e-11,5.66666666666667,6.23827470335009,21.9166665666667,21.9166665666667,TRUE,4.62594029619241e-10,1
"21","Networks_LH_SomMotB_Aud_1",21,94,4.18606022232539,0.015638037359143,-0.00980513617268541,0.0152060755717362,5.66666666666667,6.15661641239531,21.9166665666667,21.9166665666667,TRUE,0.0212672385618688,1
"22","Networks_LH_SomMotB_Aud_2",22,55,6.63815814252288,0.00140448594632916,-0.0173833120568,0.00130943682010519,5.66666666666667,6.07495812144054,21.9166665666667,21.9166665666667,TRUE,0.00249416537162893,1
"23","Networks_LH_SomMotB_S2_1",23,52,4.98436218165347,0.00712093788809859,-0.0123801053254675,0.00684414195492065,5.66666666666667,6.15661641239531,21.9166665666667,21.9166665666667,TRUE,0.0107665300468413,1
"24","Networks_LH_SomMotB_S2_2",24,60,11.1973374807908,1.67041639028394e-05,0.031608925818489,1.37106523866596e-05,13.6691791802345,21.5083751118928,21.9166665666667,21.9166665666667,TRUE,4.21866227281834e-05,1
