"","label","X","SA.axis_rank","GAM.age.Fvalue","GAM.age.pvalue","GAM.age.AdjRsq","Anova.age.pvalue","age.onsetchange","age.peakchange","maxage.BNC.increase","age.maturation","significant","Anova.age.pvalue.fdr","significant.fdr"
"1","Networks_LH_VisCent_ExStr_1",1,21,1.00352486216241,0.367524675196896,1.76607546604757e-05,0.366585002738837,NA,NA,NA,NA,FALSE,0.462612197916947,0
"2","Networks_LH_VisCent_ExStr_2",2,28,7.68327285505286,0.000533408778172428,-0.0328833818719433,0.000460465356307444,12.5929647829146,21.678391861809,NA,21.9999999,TRUE,0.00164451912966944,1
"3","Networks_LH_VisCent_Striate_1",3,2,7.86602252565559,0.000447370170571171,-0.0331527139664471,0.000383556889415045,12.1909547351759,21.5577888474874,NA,21.9999999,TRUE,0.00144738448835866,1
"4","Networks_LH_VisCent_ExStr_3",4,27,1.39275435523229,0.249616539537062,0.00199799615540197,0.248390206606827,NA,NA,NA,NA,FALSE,0.350730759859866,0
"5","Networks_LH_VisCent_ExStr_4",5,57,5.50041747656783,0.00440653597816021,0.0221897210023858,0.00408506578307598,6,6.12060301432161,14.6834170311558,14.6834170311558,TRUE,0.0100865821804345,1
"6","Networks_LH_VisCent_ExStr_5",6,36,4.89925538755348,0.00791461734344856,0.0193880550463097,0.00745212972549076,11.1457286110553,11.1457286110553,16.0502511934673,16.0502511934673,TRUE,0.0171313327022776,1
"7","Networks_LH_VisPeri_ExStrInf_1",7,39,0.0135767997694132,0.986516851973526,0.0046725308568577,0.986514949253737,NA,NA,NA,NA,FALSE,0.986514949253737,0
"8","Networks_LH_VisPeri_ExStrInf_2",8,9,0.539339496000439,0.5835650624684,0.00230258700164088,0.58313328774249,NA,NA,NA,NA,FALSE,0.674164547703226,0
"9","Networks_LH_VisPeri_ExStrInf_3",9,32,1.1419332722359,0.320260758786143,-0.000673657710487885,0.319201323699398,NA,NA,NA,NA,FALSE,0.423286999910723,0
"10","Networks_LH_VisPeri_StriCal_1",10,8,0.928126861202152,0.396160196128674,-0.000349420732512096,0.395293453394815,NA,NA,NA,NA,FALSE,0.488016609129401,0
