"","label","X","SA.axis_rank","GAM.age.Fvalue","GAM.age.pvalue","GAM.age.AdjRsq","Anova.age.pvalue","age.onsetchange","age.peakchange","maxage.BNC.increase","age.maturation","significant","Anova.age.pvalue.fdr","significant.fdr"
"13","Networks_LH_SomMotA_1",13,58,31.2419617752056,0,0.0449487498353313,2.70263798647884e-14,12.7135678085427,22.5527637221106,22.9999999,22.9999999,TRUE,1.03947614864571e-13,1
"14","Networks_LH_SomMotA_2",14,35,76.3296694778862,0,0.111340777944086,7.08671116929765e-34,8.16666666666667,22.7391121295645,22.9999999,22.9999999,TRUE,2.02477461979933e-32,1
"15","Networks_LH_SomMotA_3",15,6,99.9937636503946,0,0.140907732009683,3.74333688731549e-44,8.16666666666667,22.7391121295645,22.9999999,22.9999999,TRUE,3.74333688731549e-42,1
"16","Networks_LH_SomMotA_4",16,13,132.269253696999,0,0.178633616799045,3.59908251915966e-58,8.16666666666667,8.80025125201005,22.9999999,22.9999999,TRUE,7.19816503831932e-56,1
"17","Networks_LH_SomMotA_5",17,20,76.6413158939147,0,0.111477633343171,5.18918129222325e-34,8.16666666666667,8.76298157051927,22.9999999,22.9999999,TRUE,1.72972709740775e-32,1
"18","Networks_LH_SomMotA_6",18,40,83.9587829901179,0,0.11858804679829,3.44479104340212e-37,8.16666666666667,22.5527637221106,22.9999999,22.9999999,TRUE,1.37791641736085e-35,1
"19","Networks_LH_SomMotA_7",19,16,50.565247417871,0,0.0761121025325926,1.09595182516238e-22,8.16666666666667,22.4409546776382,22.9999999,22.9999999,TRUE,9.53001587097722e-22,1
"20","Networks_LH_SomMotA_8",20,7,40.7742687285665,0,0.0617400564818205,1.95866229811373e-18,8.16666666666667,22.9999999,22.9999999,22.9999999,TRUE,1.15215429300808e-17,1
"21","Networks_LH_SomMotB_Aud_1",21,94,23.4277051535431,0,0.0341197654795756,6.69077687754862e-11,12.7135678085427,22.8509211740368,22.9999999,22.9999999,TRUE,1.85854913265239e-10,1
"22","Networks_LH_SomMotB_Aud_2",22,55,31.5174346164441,0,0.0448452229419658,2.05187862208163e-14,8.16666666666667,22.6645727665829,22.9999999,22.9999999,TRUE,8.04658283169267e-14,1
"23","Networks_LH_SomMotB_S2_1",23,52,27.6312847468873,0,0.0403138823235647,9.99735372846892e-13,12.5644890825796,22.5900334036013,22.9999999,22.9999999,TRUE,3.22495281563514e-12,1
"24","Networks_LH_SomMotB_S2_2",24,60,52.2793511885187,0,0.076225795036938,1.97408369658558e-23,8.16666666666667,22.5527637221106,22.9999999,22.9999999,TRUE,1.88007971103389e-22,1
"25","Networks_LH_SomMotB_Aud_3",25,89,24.8351786318368,0,0.0357018403673598,1.63764078060332e-11,10.3283081931323,22.478224359129,22.9999999,22.9999999,TRUE,4.81659053118624e-11,1
"26","Networks_LH_SomMotB_S2_3",26,59,53.4201461382079,0,0.0781267544934531,6.30847824322076e-24,8.16666666666667,22.5527637221106,22.9999999,22.9999999,TRUE,6.30847824322076e-23,1
"27","Networks_LH_SomMotB_Cent_1",27,31,59.4977944086264,0,0.0872071934914737,1.44688932866061e-26,10.1792294671692,22.5900334036013,22.9999999,22.9999999,TRUE,1.80861166082576e-25,1
"28","Networks_LH_SomMotB_Cent_2",28,43,98.8204869453408,0,0.137589943157445,1.21005962239643e-43,8.16666666666667,22.3664153146566,22.9999999,22.9999999,TRUE,8.06706414930953e-42,1
"29","Networks_LH_DorsAttnA_TempOcc_1",29,115,0.764587662844496,0.465751972303833,0.000352979046239432,0.465525844214842,NA,NA,NA,NA,FALSE,0.497888603438334,0
"30","Networks_LH_DorsAttnA_TempOcc_2",30,67,2.73614370046025,0.0652234090665055,0.00276751042874646,0.0648198277559031,13.9807369792295,14.0180066607203,15.993299779732,15.993299779732,FALSE,0.0800244787109915,0
"31","Networks_LH_DorsAttnA_ParOcc_1",31,47,42.4652085588115,0,0.0629585799069239,3.61072114278517e-19,8.16666666666667,8.76298157051927,22.9999999,22.9999999,TRUE,2.3294975114743e-18,1
"32","Networks_LH_DorsAttnA_SPL_1",32,65,12.3562345726008,5.13644990524087e-06,0.0159504187827678,4.30284190922976e-06,10.4028475561139,14.9497486979899,19.496649839866,19.496649839866,TRUE,8.274695979288e-06,1
"33","Networks_LH_DorsAttnA_SPL_2",33,46,31.1986959817498,0,0.0468163982962112,2.82213898746628e-14,8.16666666666667,8.46482411859297,18.8257955730318,18.8257955730318,TRUE,1.06495810847784e-13,1
"34","Networks_LH_DorsAttnA_SPL_3",34,66,35.2129301638953,0,0.0518780376810355,5.09587469470022e-16,8.16666666666667,8.53936348157454,18.0804019432161,18.0804019432161,TRUE,2.31630667940919e-15,1
"35","Networks_LH_DorsAttnB_PostC_1",35,84,49.7755524891715,0,0.0697018395453712,2.41407882092946e-22,11.3718592748744,22.7018424480737,22.9999999,22.9999999,TRUE,1.85698370840728e-21,1
"36","Networks_LH_DorsAttnB_PostC_2",36,53,51.9129049260467,0,0.0730834278174556,2.84781053046715e-23,10.030150741206,22.7763818110553,22.9999999,22.9999999,TRUE,2.58891866406105e-22,1
"37","Networks_LH_DorsAttnB_PostC_3",37,38,60.6396564998135,0,0.0898144266048984,4.6188202958335e-27,8.16666666666667,22.478224359129,22.9999999,22.9999999,TRUE,6.15842706111133e-26,1
"38","Networks_LH_DorsAttnB_PostC_4",38,42,49.9899299892174,0,0.0744048985050175,1.9482682430263e-22,8.16666666666667,22.4036849961474,22.9999999,22.9999999,TRUE,1.55861459442104e-21,1
"39","Networks_LH_DorsAttnB_FEF_1",39,93,28.4259106038434,0,0.0362597218965545,4.51630825175176e-13,8.16666666666667,22.0309881812395,22.9999999,22.9999999,TRUE,1.48075680385304e-12,1
"40","Networks_LH_SalVentAttnA_ParOper_1",40,111,42.5907878821505,0,0.060080156303654,3.18460253637976e-19,10.030150741206,22.5900334036013,22.9999999,22.9999999,TRUE,2.12306835758651e-18,1
"41","Networks_LH_SalVentAttnA_Ins_1",41,127,9.41554524336149,8.80452261112774e-05,0.0127649130893372,8.1448012277815e-05,14.1298157051926,22.6645727665829,22.9999999,22.9999999,TRUE,0.000144155773943035,1
"42","Networks_LH_SalVentAttnA_FrOper_1",42,96,21.9109562257716,0,0.0325162918455481,3.04924458922784e-10,12.7881071715243,22.5527637221106,22.9999999,22.9999999,TRUE,7.92011581617621e-10,1
"43","Networks_LH_SalVentAttnA_FrOper_2",43,123,3.13456924289301,0.0438742599776364,0.00300781715380216,0.0435184901314152,14.9497486979899,19.2730317509213,19.2730317509213,19.2730317509213,TRUE,0.0561528904921486,0
"44","Networks_LH_SalVentAttnA_ParMed_1",44,72,19.4023049040981,0,0.0258407867313061,3.74701754139458e-09,13.011725260469,22.5154940406198,22.9999999,22.9999999,TRUE,9.02895793107128e-09,1
"45","Networks_LH_SalVentAttnA_FrMed_1",45,124,19.9205060532338,0,0.0261226866583076,2.23168967571678e-09,13.2353433494137,22.5527637221106,22.9999999,22.9999999,TRUE,5.64984728029565e-09,1
"46","Networks_LH_SalVentAttnA_FrMed_2",46,78,62.6736344783925,0,0.0871480869827427,6.04206884344661e-28,8.16666666666667,22.478224359129,22.9999999,22.9999999,TRUE,9.2954905283794e-27,1
"47","Networks_LH_SalVentAttnB_IPL_1",47,153,0.241674861149305,0.785349408912513,-0.00114659036972076,0.785311477944174,NA,NA,NA,NA,FALSE,0.797270535983933,0
"48","Networks_LH_SalVentAttnB_PFCl_1",48,175,11.924100207558,7.76989693607177e-06,0.0162848178914163,6.62871122786687e-06,8.16666666666667,8.57663316306533,16.8877721355109,16.8877721355109,TRUE,1.25070023167299e-05,1
"49","Networks_LH_SalVentAttnB_Ins_1",49,133,3.89116452666469,0.020679099622867,-0.00423165131321057,0.0204215527659236,8.16666666666667,22.6645727665829,22.9999999,22.9999999,TRUE,0.0270258692628656,1
"50","Networks_LH_SalVentAttnB_PFCmp_1",50,149,11.204120686912,1.52827810762646e-05,-0.013467489884714,1.36179669305792e-05,8.16666666666667,8.50209380008375,NA,16.515075320603,TRUE,2.52915884193424e-05,1
"51","Networks_LH_LimbicB_OFC_1",51,144,2.85996442886237,0.0576604040951109,-0.00296004408117934,0.0572708001307863,11.6700167268007,11.6700167268007,NA,15.3969848758794,FALSE,0.0711438510941445,0
"52","Networks_LH_LimbicB_OFC_2",52,141,15.8632560095602,0,0.0240646918083977,1.29025527466502e-07,8.16666666666667,8.39028475561139,16.1423785056951,16.1423785056951,TRUE,2.89945005542701e-07,1
"53","Networks_LH_LimbicA_TempPole_1",53,121,5.89556322943041,0.00283164327641661,0.00789946846231715,0.0027516257727472,12.7881071715243,12.8626465345059,17.4095476763819,17.4095476763819,TRUE,0.00395917377373698,1
"54","Networks_LH_LimbicA_TempPole_2",54,137,13.9763488357855,1.33991714035275e-06,0.0206821887827273,8.51429868153194e-07,8.16666666666667,8.46482411859297,16.8132327725293,16.8132327725293,TRUE,1.75552550134679e-06,1
"55","Networks_LH_LimbicA_TempPole_3",55,130,0.559893331538859,0.5714187465234,0.00072393544904148,0.571269993311801,NA,NA,NA,NA,FALSE,0.595072909699793,0
"56","Networks_LH_LimbicA_TempPole_4",56,113,1.56903767307725,0.208671512798088,0.000934556500891692,0.208245472897016,NA,NA,NA,NA,FALSE,0.236642582837518,0
"57","Networks_LH_ContA_Temp_1",57,139,14.2245331354651,1.0569164801133e-06,0.0203344398196531,6.64299228082293e-07,8.16666666666667,8.42755443710218,17.3350083134003,17.3350083134003,TRUE,1.38395672517144e-06,1
"58","Networks_LH_ContA_IPS_1",58,119,6.01630777268069,0.00251259701226836,-0.00686722625331415,0.00243865682533689,12.2663316306533,12.3036013121441,NA,17.1859295874372,TRUE,0.00353428525411143,1
"59","Networks_LH_ContA_IPS_2",59,104,2.54544847524926,0.0788604959411223,-0.00214856622833182,0.0784378746610002,8.16666666666667,8.61390284455612,NA,14.4279731571189,FALSE,0.0945034634469882,0
"60","Networks_LH_ContA_IPS_3",60,88,8.53110662018848,0.000209541786683198,0.0109962987037788,0.000197236526134368,13.3098827123953,22.5527637221106,22.9999999,22.9999999,TRUE,0.000318123429248981,1
"61","Networks_LH_ContA_PFCd_1",61,125,12.3204092229035,5.32092378946469e-06,0.0162868041263253,4.45978630804019e-06,13.6080401643216,22.6645727665829,22.9999999,22.9999999,TRUE,8.49483106293369e-06,1
"62","Networks_LH_ContA_PFClv_1",62,178,6.94975331649305,0.000997840921564686,-0.00831821916946074,0.000958871540076739,12.0427135417085,12.0799832231993,NA,17.5586264023451,TRUE,0.00146392601538433,1
"63","Networks_LH_ContA_PFCl_1",63,142,6.13316001789738,0.00223810102265226,-0.00642437687302966,0.00216971428633149,8.16666666666667,8.42755443710218,NA,15.3969848758794,TRUE,0.00316746611143283,1
